Country Name,Year,Indicator Name,Value
Dominican Republic,2020,"Life expectancy at birth, female (years)",76.717
Dominican Republic,2019,"Life expectancy at birth, female (years)",76.448
Dominican Republic,2018,"Life expectancy at birth, female (years)",76.936
Dominican Republic,2017,"Life expectancy at birth, female (years)",76.776
Dominican Republic,2016,"Life expectancy at birth, female (years)",76.516
Dominican Republic,2015,"Life expectancy at birth, female (years)",76.376
Dominican Republic,2014,"Life expectancy at birth, female (years)",76.756
Dominican Republic,2013,"Life expectancy at birth, female (years)",76.826
Dominican Republic,2012,"Life expectancy at birth, female (years)",76.708
Dominican Republic,2011,"Life expectancy at birth, female (years)",76.379
Dominican Republic,2010,"Life expectancy at birth, female (years)",75.68
Dominican Republic,2009,"Life expectancy at birth, female (years)",74.945
Dominican Republic,2008,"Life expectancy at birth, female (years)",74.368
Dominican Republic,2007,"Life expectancy at birth, female (years)",73.925
Dominican Republic,2006,"Life expectancy at birth, female (years)",73.888
Dominican Republic,2005,"Life expectancy at birth, female (years)",74.033
Dominican Republic,2004,"Life expectancy at birth, female (years)",73.877
Dominican Republic,2003,"Life expectancy at birth, female (years)",74.149
Dominican Republic,2002,"Life expectancy at birth, female (years)",74.083
Dominican Republic,2001,"Life expectancy at birth, female (years)",73.948
Dominican Republic,2000,"Life expectancy at birth, female (years)",73.754
Dominican Republic,1999,"Life expectancy at birth, female (years)",73.531
Dominican Republic,1998,"Life expectancy at birth, female (years)",73.159
Dominican Republic,1997,"Life expectancy at birth, female (years)",73.108
Dominican Republic,1996,"Life expectancy at birth, female (years)",72.868
Dominican Republic,1995,"Life expectancy at birth, female (years)",72.633
Dominican Republic,1994,"Life expectancy at birth, female (years)",72.368
Dominican Republic,1993,"Life expectancy at birth, female (years)",72.024
Dominican Republic,1992,"Life expectancy at birth, female (years)",71.633
Dominican Republic,1991,"Life expectancy at birth, female (years)",71.178
Dominican Republic,1990,"Life expectancy at birth, female (years)",70.671
Dominican Republic,1989,"Life expectancy at birth, female (years)",70.134
Dominican Republic,1988,"Life expectancy at birth, female (years)",69.602
Dominican Republic,1987,"Life expectancy at birth, female (years)",69.062
Dominican Republic,1986,"Life expectancy at birth, female (years)",68.527
Dominican Republic,1985,"Life expectancy at birth, female (years)",67.979
Dominican Republic,1984,"Life expectancy at birth, female (years)",67.409
Dominican Republic,1983,"Life expectancy at birth, female (years)",66.823
Dominican Republic,1982,"Life expectancy at birth, female (years)",66.332
Dominican Republic,1981,"Life expectancy at birth, female (years)",65.885
Dominican Republic,1980,"Life expectancy at birth, female (years)",65.474
Dominican Republic,1979,"Life expectancy at birth, female (years)",64.335
Dominican Republic,1978,"Life expectancy at birth, female (years)",64.684
Dominican Republic,1977,"Life expectancy at birth, female (years)",64.228
Dominican Republic,1976,"Life expectancy at birth, female (years)",63.728
Dominican Republic,1975,"Life expectancy at birth, female (years)",63.214
Dominican Republic,1974,"Life expectancy at birth, female (years)",62.694
Dominican Republic,1973,"Life expectancy at birth, female (years)",62.138
Dominican Republic,1972,"Life expectancy at birth, female (years)",61.574
Dominican Republic,1971,"Life expectancy at birth, female (years)",60.985
Dominican Republic,1970,"Life expectancy at birth, female (years)",60.366
Dominican Republic,1969,"Life expectancy at birth, female (years)",59.73
Dominican Republic,1968,"Life expectancy at birth, female (years)",59.091
Dominican Republic,1967,"Life expectancy at birth, female (years)",58.415
Dominican Republic,1966,"Life expectancy at birth, female (years)",57.688
Dominican Republic,1965,"Life expectancy at birth, female (years)",56.789
Dominican Republic,1964,"Life expectancy at birth, female (years)",56.333
Dominican Republic,1963,"Life expectancy at birth, female (years)",55.362
Dominican Republic,1962,"Life expectancy at birth, female (years)",54.842
Dominican Republic,1961,"Life expectancy at birth, female (years)",54.072
Dominican Republic,1960,"Life expectancy at birth, female (years)",53.305
Dominican Republic,2020,"Life expectancy at birth, male (years)",68.925
Dominican Republic,2019,"Life expectancy at birth, male (years)",69.898
Dominican Republic,2018,"Life expectancy at birth, male (years)",70.292
Dominican Republic,2017,"Life expectancy at birth, male (years)",70.073
Dominican Republic,2016,"Life expectancy at birth, male (years)",69.415
Dominican Republic,2015,"Life expectancy at birth, male (years)",69.7
Dominican Republic,2014,"Life expectancy at birth, male (years)",69.686
Dominican Republic,2013,"Life expectancy at birth, male (years)",69.451
Dominican Republic,2012,"Life expectancy at birth, male (years)",69.163
Dominican Republic,2011,"Life expectancy at birth, male (years)",68.861
Dominican Republic,2010,"Life expectancy at birth, male (years)",68.612
Dominican Republic,2009,"Life expectancy at birth, male (years)",68.397
Dominican Republic,2008,"Life expectancy at birth, male (years)",68.406
Dominican Republic,2007,"Life expectancy at birth, male (years)",68.351
Dominican Republic,2006,"Life expectancy at birth, male (years)",68.302
Dominican Republic,2005,"Life expectancy at birth, male (years)",68.159
Dominican Republic,2004,"Life expectancy at birth, male (years)",67.714
Dominican Republic,2003,"Life expectancy at birth, male (years)",67.715
Dominican Republic,2002,"Life expectancy at birth, male (years)",67.518
Dominican Republic,2001,"Life expectancy at birth, male (years)",67.327
Dominican Republic,2000,"Life expectancy at birth, male (years)",67.145
Dominican Republic,1999,"Life expectancy at birth, male (years)",66.995
Dominican Republic,1998,"Life expectancy at birth, male (years)",66.757
Dominican Republic,1997,"Life expectancy at birth, male (years)",66.683
Dominican Republic,1996,"Life expectancy at birth, male (years)",66.499
Dominican Republic,1995,"Life expectancy at birth, male (years)",66.333
Dominican Republic,1994,"Life expectancy at birth, male (years)",66.133
Dominican Republic,1993,"Life expectancy at birth, male (years)",65.88
Dominican Republic,1992,"Life expectancy at birth, male (years)",65.601
Dominican Republic,1991,"Life expectancy at birth, male (years)",65.311
Dominican Republic,1990,"Life expectancy at birth, male (years)",64.995
Dominican Republic,1989,"Life expectancy at birth, male (years)",64.689
Dominican Republic,1988,"Life expectancy at birth, male (years)",64.377
Dominican Republic,1987,"Life expectancy at birth, male (years)",64.056
Dominican Republic,1986,"Life expectancy at birth, male (years)",63.721
Dominican Republic,1985,"Life expectancy at birth, male (years)",63.368
Dominican Republic,1984,"Life expectancy at birth, male (years)",62.972
Dominican Republic,1983,"Life expectancy at birth, male (years)",62.548
Dominican Republic,1982,"Life expectancy at birth, male (years)",62.179
Dominican Republic,1981,"Life expectancy at birth, male (years)",61.789
Dominican Republic,1980,"Life expectancy at birth, male (years)",61.434
Dominican Republic,1979,"Life expectancy at birth, male (years)",60.627
Dominican Republic,1978,"Life expectancy at birth, male (years)",60.697
Dominican Republic,1977,"Life expectancy at birth, male (years)",60.307
Dominican Republic,1976,"Life expectancy at birth, male (years)",59.886
Dominican Republic,1975,"Life expectancy at birth, male (years)",59.43
Dominican Republic,1974,"Life expectancy at birth, male (years)",58.959
Dominican Republic,1973,"Life expectancy at birth, male (years)",58.46
Dominican Republic,1972,"Life expectancy at birth, male (years)",57.897
Dominican Republic,1971,"Life expectancy at birth, male (years)",57.347
Dominican Republic,1970,"Life expectancy at birth, male (years)",56.776
Dominican Republic,1969,"Life expectancy at birth, male (years)",56.199
Dominican Republic,1968,"Life expectancy at birth, male (years)",55.611
Dominican Republic,1967,"Life expectancy at birth, male (years)",55.03
Dominican Republic,1966,"Life expectancy at birth, male (years)",54.393
Dominican Republic,1965,"Life expectancy at birth, male (years)",49.425
Dominican Republic,1964,"Life expectancy at birth, male (years)",53.127
Dominican Republic,1963,"Life expectancy at birth, male (years)",52.291
Dominican Republic,1962,"Life expectancy at birth, male (years)",51.709
Dominican Republic,1961,"Life expectancy at birth, male (years)",50.976
Dominican Republic,1960,"Life expectancy at birth, male (years)",50.257
